"route_id,agency_id,route_short_name,route_type,route_long_name,route_color"
"B1_1,B1_CAI_BUS,1,3,,"
"B1_3,B1_CAI_BUS,3,3,,"
"B1_4,B1_CAI_BUS,4,3,,"
"B1_5,B1_CAI_BUS,5,3,,"
"B1_7,B1_CAI_BUS,7,3,,"
"B1_8,B1_CAI_BUS,8,3,,"
"B1_9,B1_CAI_BUS,9,3,,"
"B1_10,B1_CAI_BUS,10,3,,"
"B1_11,B1_CAI_BUS,11,3,,"
"B1_12,B1_CAI_BUS,12,3,,"
"B1_13,B1_CAI_BUS,13,3,,"
"B1_14,B1_CAI_BUS,14,3,,"
"B1_17,B1_CAI_BUS,17,3,,"
"B1_18,B1_CAI_BUS,18,3,,"
"B1_23,B1_CAI_BUS,23,3,,"
"B1_25,B1_CAI_BUS,25,3,,"
"B1_26,B1_CAI_BUS,26,3,,"
"B1_28,B1_CAI_BUS,28,3,,"
"B1_29,B1_CAI_BUS,29,3,,"
"B1_30,B1_CAI_BUS,30,3,,"
"B1_35,B1_CAI_BUS,35,3,,"
"B1_37,B1_CAI_BUS,37,3,,"
"B1_40,B1_CAI_BUS,40,3,,"
"B1_43,B1_CAI_BUS,43,3,,"
"B1_44,B1_CAI_BUS,44,3,,"
"B1_45,B1_CAI_BUS,45,3,,"
"B1_46,B1_CAI_BUS,46,3,,"
"B1_47,B1_CAI_BUS,47,3,,"
"B1_48,B1_CAI_BUS,48,3,,"
"B1_49,B1_CAI_BUS,49,3,,"
"B1_50,B1_CAI_BUS,50,3,,"
"B1_51,B1_CAI_BUS,51,3,,"
"B1_52,B1_CAI_BUS,52,3,,"
"B1_53,B1_CAI_BUS,53,3,,"
"B1_56,B1_CAI_BUS,56,3,,"
"B1_57,B1_CAI_BUS,57,3,,"
"B1_58,B1_CAI_BUS,58,3,,"
"B1_60,B1_CAI_BUS,60,3,,"
"B1_62,B1_CAI_BUS,62,3,,"
"B1_64,B1_CAI_BUS,64,3,,"
"B1_66,B1_CAI_BUS,66,3,,"
"B1_69,B1_CAI_BUS,69,3,,"
"B1_72,B1_CAI_BUS,72,3,,"
"B1_74,B1_CAI_BUS,74,3,,"
"B1_76,B1_CAI_BUS,76,3,,"
"B1_78,B1_CAI_BUS,78,3,,"
"B1_79,B1_CAI_BUS,79,3,,"
"B1_80,B1_CAI_BUS,80,3,,"
"B1_81,B1_CAI_BUS,81,3,,"
"B1_82,B1_CAI_BUS,82,3,,"
"B1_83,B1_CAI_BUS,83,3,,"
"B1_84,B1_CAI_BUS,84,3,,"
"B1_85,B1_CAI_BUS,85,3,,"
"B1_87,B1_CAI_BUS,87,3,,"
"B1_88,B1_CAI_BUS,88,3,,"
"B1_89,B1_CAI_BUS,89,3,,"
"B1_90,B1_CAI_BUS,90,3,,"
"B1_101,B1_CAI_BUS,101,3,,"
"B1_102,B1_CAI_BUS,102,3,,"
"B1_104,B1_CAI_BUS,104,3,,"
"B1_106,B1_CAI_BUS,106,3,,"
"B1_107,B1_CAI_BUS,107,3,,"
"B1_112,B1_CAI_BUS,112,3,,"
"B1_113,B1_CAI_BUS,113,3,,"
"B1_115,B1_CAI_BUS,115,3,,"
"B1_119,B1_CAI_BUS,119,3,,"
"B1_120,B1_CAI_BUS,120,3,,"
"B1_121,B1_CAI_BUS,121,3,,"
"B1_125,B1_CAI_BUS,125,3,,"
"B1_126,B1_CAI_BUS,126,3,,"
"B1_127,B1_CAI_BUS,127,3,,"
"B1_129,B1_CAI_BUS,129,3,,"
"B1_131,B1_CAI_BUS,131,3,,"
"B1_132,B1_CAI_BUS,132,3,,"
"B1_133,B1_CAI_BUS,133,3,,"
"B1_134,B1_CAI_BUS,134,3,,"
"B1_135,B1_CAI_BUS,135,3,,"
"B1_136,B1_CAI_BUS,136,3,,"
"B1_137,B1_CAI_BUS,137,3,,"
"B1_138,B1_CAI_BUS,138,3,,"
"B1_139,B1_CAI_BUS,139,3,,"
"B1_140,B1_CAI_BUS,140,3,,"
"B1_145,B1_CAI_BUS,145,3,,"
"B1_146,B1_CAI_BUS,146,3,,"
"B1_148,B1_CAI_BUS,148,3,,"
"B1_149,B1_CAI_BUS,149,3,,"
"B1_150,B1_CAI_BUS,150,3,,"
"B1_151,B1_CAI_BUS,151,3,,"
"B1_153,B1_CAI_BUS,153,3,,"
"B1_159,B1_CAI_BUS,159,3,,"
"B1_162,B1_CAI_BUS,162,3,,"
"B1_165,B1_CAI_BUS,165,3,,"
"B1_167,B1_CAI_BUS,167,3,,"
"B1_202,B1_CAI_BUS,202,3,,"
"B1_203,B1_CAI_BUS,203,3,,"
"B1_210,B1_CAI_BUS,210,3,,"
"B1_211,B1_CAI_BUS,211,3,,"
"B1_212,B1_CAI_BUS,212,3,,"
"B1_219,B1_CAI_BUS,219,3,,"
"B1_220,B1_CAI_BUS,220,3,,"
"B1_222,B1_CAI_BUS,222,3,,"
"B1_223,B1_CAI_BUS,223,3,,"
"B1_225,B1_CAI_BUS,225,3,,"
"B1_226,B1_CAI_BUS,226,3,,"
"B1_255,B1_CAI_BUS,255,3,,"
"B1_259,B1_CAI_BUS,259,3,,"
"B1_265,B1_CAI_BUS,265,3,,"
"B1_300,B1_CAI_BUS,300,3,,"
"B1_302,B1_CAI_BUS,302,3,,"
"B1_303,B1_CAI_BUS,303,3,,"
"B1_304,B1_CAI_BUS,304,3,,"
"B1_305,B1_CAI_BUS,305,3,,"
"B1_307,B1_CAI_BUS,307,3,,"
"B1_308,B1_CAI_BUS,308,3,,"
"B1_309,B1_CAI_BUS,309,3,,"
"B1_310,B1_CAI_BUS,310,3,,"
"B1_311,B1_CAI_BUS,311,3,,"
"B1_314,B1_CAI_BUS,314,3,,"
"B1_329,B1_CAI_BUS,329,3,,"
"B1_333,B1_CAI_BUS,333,3,,"
"B1_355,B1_CAI_BUS,355,3,,"
"B1_380,B1_CAI_BUS,380,3,,"
"B1_381,B1_CAI_BUS,381,3,,"
"B1_404,B1_CAI_BUS,404,3,,"
"B1_421,B1_CAI_BUS,421,3,,"
"B1_424,B1_CAI_BUS,424,3,,"
"B1_505,B1_CAI_BUS,505,3,,"
"B1_555,B1_CAI_BUS,555,3,,"
"B1_606,B1_CAI_BUS,606,3,,"
"B1_616,B1_CAI_BUS,616,3,,"
"B1_700,B1_CAI_BUS,700,3,,"
"B1_701,B1_CAI_BUS,701,3,,"
"B1_702,B1_CAI_BUS,702,3,,"
"B1_705,B1_CAI_BUS,705,3,,"
"B1_706,B1_CAI_BUS,706,3,,"
"B1_707,B1_CAI_BUS,707,3,,"
"B1_755,B1_CAI_BUS,755,3,,"
"B1_777,B1_CAI_BUS,777,3,,"
"B1_2001,B1_CAI_BUS,2001,3,,"
"B1_2002,B1_CAI_BUS,2002,3,,"
"B1_2003,B1_CAI_BUS,2003,3,,"
