"trip_id,stop_id,stop_sequence,arrival_time,departure_time"
"B1_trip_1,B1_292,1,08:00:00,08:00:00"
"B1_trip_1,B1_136,2,08:00:00,08:00:00"
"B1_trip_1,B1_188,3,08:00:00,08:00:00"
"B1_trip_1,B1_210,4,08:00:00,08:00:00"
"B1_trip_1,B1_40,5,08:00:00,08:00:00"
"B1_trip_1,B1_185,6,08:00:00,08:00:00"
"B1_trip_1,B1_56,7,08:00:00,08:00:00"
"B1_trip_1,B1_118,8,08:00:00,08:00:00"
"B1_trip_10,B1_239,1,08:00:00,08:00:00"
"B1_trip_10,B1_176,2,08:00:00,08:00:00"
"B1_trip_10,B1_292,3,08:00:00,08:00:00"
"B1_trip_10,B1_11,4,08:00:00,08:00:00"
"B1_trip_10,B1_136,5,08:00:00,08:00:00"
"B1_trip_10,B1_188,6,08:00:00,08:00:00"
"B1_trip_10,B1_210,7,08:00:00,08:00:00"
"B1_trip_10,B1_185,8,08:00:00,08:00:00"
"B1_trip_10,B1_150,9,08:00:00,08:00:00"
"B1_trip_10,B1_118,10,08:00:00,08:00:00"
"B1_trip_101,B1_231,1,08:00:00,08:00:00"
"B1_trip_101,B1_256,2,08:00:00,08:00:00"
"B1_trip_101,B1_208,3,08:00:00,08:00:00"
"B1_trip_101,B1_81,4,08:00:00,08:00:00"
"B1_trip_101,B1_222,5,08:00:00,08:00:00"
"B1_trip_101,B1_234,6,08:00:00,08:00:00"
"B1_trip_101,B1_185,7,08:00:00,08:00:00"
"B1_trip_101,B1_150,8,08:00:00,08:00:00"
"B1_trip_101,B1_329,9,08:00:00,08:00:00"
"B1_trip_101,B1_171,10,08:00:00,08:00:00"
"B1_trip_101,B1_154,11,08:00:00,08:00:00"
"B1_trip_101,B1_164,12,08:00:00,08:00:00"
"B1_trip_102,B1_267,1,08:00:00,08:00:00"
"B1_trip_102,B1_126,2,08:00:00,08:00:00"
"B1_trip_102,B1_208,3,08:00:00,08:00:00"
"B1_trip_102,B1_81,4,08:00:00,08:00:00"
"B1_trip_102,B1_222,5,08:00:00,08:00:00"
"B1_trip_102,B1_128,6,08:00:00,08:00:00"
"B1_trip_102,B1_277,7,08:00:00,08:00:00"
"B1_trip_102,B1_74,8,08:00:00,08:00:00"
"B1_trip_102,B1_114,9,08:00:00,08:00:00"
"B1_trip_102,B1_162,10,08:00:00,08:00:00"
"B1_trip_104,B1_13,1,08:00:00,08:00:00"
"B1_trip_104,B1_208,2,08:00:00,08:00:00"
"B1_trip_104,B1_208,3,08:00:00,08:00:00"
"B1_trip_104,B1_81,4,08:00:00,08:00:00"
"B1_trip_104,B1_28,5,08:00:00,08:00:00"
"B1_trip_104,B1_222,6,08:00:00,08:00:00"
"B1_trip_104,B1_200,7,08:00:00,08:00:00"
"B1_trip_104,B1_142,8,08:00:00,08:00:00"
"B1_trip_104,B1_104,9,08:00:00,08:00:00"
"B1_trip_106,B1_18,1,08:00:00,08:00:00"
"B1_trip_106,B1_15,2,08:00:00,08:00:00"
"B1_trip_106,B1_161,3,08:00:00,08:00:00"
"B1_trip_106,B1_188,4,08:00:00,08:00:00"
"B1_trip_106,B1_81,5,08:00:00,08:00:00"
"B1_trip_106,B1_121,6,08:00:00,08:00:00"
"B1_trip_106,B1_147,7,08:00:00,08:00:00"
"B1_trip_106,B1_132,8,08:00:00,08:00:00"
"B1_trip_107,B1_227,1,08:00:00,08:00:00"
"B1_trip_107,B1_113,2,08:00:00,08:00:00"
"B1_trip_107,B1_86,3,08:00:00,08:00:00"
"B1_trip_107,B1_231,4,08:00:00,08:00:00"
"B1_trip_107,B1_256,5,08:00:00,08:00:00"
"B1_trip_107,B1_334,6,08:00:00,08:00:00"
"B1_trip_107,B1_121,7,08:00:00,08:00:00"
"B1_trip_107,B1_268,8,08:00:00,08:00:00"
"B1_trip_107,B1_143,9,08:00:00,08:00:00"
"B1_trip_107,B1_304,10,08:00:00,08:00:00"
"B1_trip_11,B1_20,1,08:00:00,08:00:00"
"B1_trip_11,B1_15,2,08:00:00,08:00:00"
"B1_trip_11,B1_161,3,08:00:00,08:00:00"
"B1_trip_11,B1_188,4,08:00:00,08:00:00"
"B1_trip_11,B1_17,5,08:00:00,08:00:00"
"B1_trip_11,B1_81,6,08:00:00,08:00:00"
"B1_trip_11,B1_208,7,08:00:00,08:00:00"
"B1_trip_11,B1_86,8,08:00:00,08:00:00"
"B1_trip_11,B1_256,9,08:00:00,08:00:00"
"B1_trip_11,B1_292,10,08:00:00,08:00:00"
"B1_trip_112,B1_247,1,08:00:00,08:00:00"
"B1_trip_112,B1_252,2,08:00:00,08:00:00"
"B1_trip_112,B1_126,3,08:00:00,08:00:00"
"B1_trip_112,B1_27,4,08:00:00,08:00:00"
"B1_trip_112,B1_38,5,08:00:00,08:00:00"
"B1_trip_112,B1_90,6,08:00:00,08:00:00"
"B1_trip_112,B1_208,7,08:00:00,08:00:00"
"B1_trip_112,B1_81,8,08:00:00,08:00:00"
"B1_trip_112,B1_188,9,08:00:00,08:00:00"
"B1_trip_112,B1_161,10,08:00:00,08:00:00"
"B1_trip_112,B1_103,11,08:00:00,08:00:00"
"B1_trip_113,B1_169,1,08:00:00,08:00:00"
"B1_trip_113,B1_136,2,08:00:00,08:00:00"
"B1_trip_113,B1_86,3,08:00:00,08:00:00"
"B1_trip_113,B1_41,4,08:00:00,08:00:00"
"B1_trip_113,B1_327,5,08:00:00,08:00:00"
"B1_trip_113,B1_254,6,08:00:00,08:00:00"
"B1_trip_113,B1_256,7,08:00:00,08:00:00"
"B1_trip_113,B1_151,8,08:00:00,08:00:00"
"B1_trip_113,B1_212,9,08:00:00,08:00:00"
"B1_trip_113,B1_207,10,08:00:00,08:00:00"
"B1_trip_113,B1_310,11,08:00:00,08:00:00"
"B1_trip_115,B1_14,1,08:00:00,08:00:00"
"B1_trip_115,B1_75,2,08:00:00,08:00:00"
"B1_trip_115,B1_274,3,08:00:00,08:00:00"
"B1_trip_115,B1_213,4,08:00:00,08:00:00"
"B1_trip_115,B1_102,5,08:00:00,08:00:00"
"B1_trip_115,B1_210,6,08:00:00,08:00:00"
