"stop_id,stop_name,stop_lat,stop_lon,location_type"
"B1_1,طريق القاهرة / الإسكندرية الزراعي,30.8128601,30.750244,"
"B1_2,الحى الثاني عشر بمدينة 6 أكتوبر,29.9547941,30.9029992,"
"B1_3,الحي السادس بمدينة 6 أكتوبر,29.954800,30.918100,"
"B1_4,سراي القبة للأنفاق (دائري ),30.097646,31.3045631,"
"B1_5,طريق مصر الاسكندرية الزراعي,30.1420159,31.2312361,"
"B1_6,مديرية أمن القاهرة الجديدة,30.0691433,31.5245011,"
"B1_7,""الجامعة الامريكية """"اللوتس"""""",30.0257855,31.5198716,"
"B1_8,شارع جامعة الدول العربية,30.0521298,31.2008902,"
"B1_9,محطة عبد المنعم رياض 2,30.0868911,31.2593617,"
"B1_10,بولاق الدكرور رقم الخط,30.1013258,31.1996135,"
"B1_11,شارع ترعة الاسماعيلية,30.1074773,31.2485373,"
"B1_12,التجمع الأول (الرحاب),30.058500,31.490300,"
"B1_13,ميدان عبد المنعم رياض,30.048905,31.2342883,"
"B1_14,مساكن الوحدة العربية,30.0928214,31.2684834,"
"B1_15,شارع عبد الحميد بدوي,30.1128047,31.3681203,"
"B1_16,اسكان الخيالة الجديد,29.99547489999999,31.2548645,"
"B1_17,شارع الخليفة المأمون,29.9910962,31.1633393,"
"B1_18,موقف السلام النموذجي,30.0567634,31.261285,"
"B1_19,موقف الرماية الجديد,29.990805,31.1338977,"
"B1_20,ميدان مساكن شيراتون,30.1066558,31.289746,"
"B1_21,شارع أبو بكر الصديق,29.9872407,31.3338954,"
"B1_22,شارع مصر و السودان,30.0797668,31.2792393,"
"B1_23,ميدان السيدة عائشة,30.02736,31.2559448,"
"B1_24,شارع المخيم الدائم,30.0536667,31.312105,"
"B1_25,شارع نجيب الريحاني,30.0559126,31.2468849,"
"B1_26,مدينة السلام سبيكو,30.1784687,31.4045555,"
"B1_27,شارع جامعة القاهرة,30.02242,31.2113829,"
"B1_28,شارع امتداد رمسيس,30.0732808,31.2850732,"
"B1_29,عبد المنعم رياض 1,30.0873526,31.2596071,"
"B1_30,ميدان السيده زينب,30.0321295,31.2433972,"
"B1_31,ميدان حدائق القبة,30.0860913,31.289761,"
"B1_32,شارع مصطبة المحمل,30.1049062,31.2598235,"
"B1_33,""الرحاب """"بوابة """"13"",30.0657,31.475527,"
"B1_34,ميدان حداثق القبة,30.0860913,31.289761,"
"B1_35,محطة قطارات بشتيل,30.0654957,31.1886574,"
"B1_36,كلية بنات عين شمس,30.0811095,31.3289564,"
"B1_37,شارع مصر والسودان,30.0797668,31.2792393,"
"B1_38,شارع القصر العيني,30.0337153,31.2333691,"
"B1_39,طريق الأوتوستراد,30.0459265,31.2796537,"
"B1_40,ميدان هشام بركات,30.067374,31.32500749999999,"
"B1_41,الترعة البولاقية,30.078788,31.2501389,"
"B1_42,ترعة الدسماعيلية,30.1067703,31.2512436,"
"B1_43,ميدان صلاح الدين,30.0315822,31.2572236,"
"B1_44,شارع سكة الوايلي,30.0673193,31.2759313,"
"B1_45,ميدان الالف مسكن,30.1188972,31.3400652,"
"B1_46,ترمة الدسماعيلية,30.106800,31.248600,"
"B1_47,شارع مجري العيون,30.0208277,31.2409938,"
"B1_48,كوبري الملك فيصل,30.0147761,31.2033014,"
"B1_49,نفق الملك الصالح,30.0159174,31.2312437,"
"B1_50,المظلات الخلفاوي,30.0960649,31.2788362,"
"B1_51,ميدان الكيت كات,30.06655,31.213024,"
"B1_52,كوبري روض الفرج,30.0873232,31.2333086,"
"B1_53,الزاوية الحمراء,30.0955771,31.2665384,"
"B1_54,شارع قصر العيني,30.0337153,31.2333691,"
"B1_55,شارع سليم الاول,30.1115058,31.3160333,"
