"route_id,service_id,trip_id,shape_id,direction_id"
"B1_1,B1_DAILY,B1_trip_1,B1_shape_1,"
"B1_3,B1_DAILY,B1_trip_3,B1_shape_3,"
"B1_4,B1_DAILY,B1_trip_4,B1_shape_4,"
"B1_5,B1_DAILY,B1_trip_5,B1_shape_5,"
"B1_7,B1_DAILY,B1_trip_7,B1_shape_7,"
"B1_8,B1_DAILY,B1_trip_8,B1_shape_8,"
"B1_9,B1_DAILY,B1_trip_9,B1_shape_9,"
"B1_10,B1_DAILY,B1_trip_10,B1_shape_10,"
"B1_11,B1_DAILY,B1_trip_11,B1_shape_11,"
"B1_12,B1_DAILY,B1_trip_12,B1_shape_12,"
"B1_13,B1_DAILY,B1_trip_13,B1_shape_13,"
"B1_14,B1_DAILY,B1_trip_14,B1_shape_14,"
"B1_17,B1_DAILY,B1_trip_17,B1_shape_17,"
"B1_18,B1_DAILY,B1_trip_18,B1_shape_18,"
"B1_23,B1_DAILY,B1_trip_23,B1_shape_23,"
"B1_25,B1_DAILY,B1_trip_25,B1_shape_25,"
"B1_26,B1_DAILY,B1_trip_26,B1_shape_26,"
"B1_28,B1_DAILY,B1_trip_28,B1_shape_28,"
"B1_29,B1_DAILY,B1_trip_29,B1_shape_29,"
"B1_30,B1_DAILY,B1_trip_30,B1_shape_30,"
"B1_35,B1_DAILY,B1_trip_35,B1_shape_35,"
"B1_37,B1_DAILY,B1_trip_37,B1_shape_37,"
"B1_40,B1_DAILY,B1_trip_40,B1_shape_40,"
"B1_43,B1_DAILY,B1_trip_43,B1_shape_43,"
"B1_44,B1_DAILY,B1_trip_44,B1_shape_44,"
"B1_45,B1_DAILY,B1_trip_45,B1_shape_45,"
"B1_46,B1_DAILY,B1_trip_46,B1_shape_46,"
"B1_47,B1_DAILY,B1_trip_47,B1_shape_47,"
"B1_48,B1_DAILY,B1_trip_48,B1_shape_48,"
"B1_49,B1_DAILY,B1_trip_49,B1_shape_49,"
"B1_50,B1_DAILY,B1_trip_50,B1_shape_50,"
"B1_51,B1_DAILY,B1_trip_51,B1_shape_51,"
"B1_52,B1_DAILY,B1_trip_52,B1_shape_52,"
"B1_53,B1_DAILY,B1_trip_53,B1_shape_53,"
"B1_56,B1_DAILY,B1_trip_56,B1_shape_56,"
"B1_57,B1_DAILY,B1_trip_57,B1_shape_57,"
"B1_58,B1_DAILY,B1_trip_58,B1_shape_58,"
"B1_60,B1_DAILY,B1_trip_60,B1_shape_60,"
"B1_62,B1_DAILY,B1_trip_62,B1_shape_62,"
"B1_64,B1_DAILY,B1_trip_64,B1_shape_64,"
"B1_66,B1_DAILY,B1_trip_66,B1_shape_66,"
"B1_69,B1_DAILY,B1_trip_69,B1_shape_69,"
"B1_72,B1_DAILY,B1_trip_72,B1_shape_72,"
"B1_74,B1_DAILY,B1_trip_74,B1_shape_74,"
"B1_76,B1_DAILY,B1_trip_76,B1_shape_76,"
"B1_78,B1_DAILY,B1_trip_78,B1_shape_78,"
"B1_79,B1_DAILY,B1_trip_79,B1_shape_79,"
"B1_80,B1_DAILY,B1_trip_80,B1_shape_80,"
"B1_81,B1_DAILY,B1_trip_81,B1_shape_81,"
